sub,error_rate_high_absent,error_rate_high_frequent,error_rate_high_rare,error_rate_low_absent,error_rate_low_frequent,error_rate_low_rare,mean_rt_high_absent,mean_rt_high_frequent,mean_rt_high_rare,mean_rt_low_absent,mean_rt_low_frequent,mean_rt_low_rare
1,1.3812154696132617,2.164502164502169,1.1811023622047223,0.6925207756232732,0.6651884700665134,0.3745318352059934,0.9852838871494274,1.18667532923657,1.2001097858535659,0.8473124420053482,0.9687440315923745,1.0135449346515726
2,3.194444444444444,2.350427350427353,3.57142857142857,2.7338129496402908,0.8695652173912993,1.403508771929829,0.6026274209655414,0.627809358044782,0.6724357200868953,0.6208504998254927,0.6428240315523496,0.692459849588461
3,1.6574585635359074,2.3913043478260843,1.953125,5.249343832021003,5.000000000000004,6.5891472868217065,0.6857044476055468,0.6930796844286098,0.8065456741458008,0.5838754978449332,0.6177091436727644,0.6521011850084226
4,1.1560693641618491,2.708333333333335,2.985074626865669,0.7082152974504208,0.649350649350644,1.4705882352941124,1.083300923182838,1.079276886881157,1.3563195505397485,0.9405746128370807,1.0111468396275864,1.113148645791276
5,0.8310249307479256,0.6465517241379337,1.1811023622047223,0.28943560057886897,0.6329113924050667,0.0,1.052640943118427,1.2097183768881106,1.3248316230218349,0.930355142463375,0.9891635143941483,1.1000357866038817
6,0.8207934336525335,1.5555555555555545,1.5444015444015413,0.28288543140028155,1.103752759381893,0.0,1.4899647916608956,1.644938365433192,1.7522120843683129,1.0381531123559862,1.1053018491376763,1.2339358420398638
7,0.0,0.2159827213822907,0.0,0.0,0.0,0.0,0.9818118360123799,1.0606644041596185,1.1372258824723915,0.8742418237441254,0.9256075277655076,0.9890978381559425
8,0.13812154696132284,0.0,0.7874015748031482,0.8438818565400852,0.21551724137931494,0.0,0.930207254837628,0.9989022082879443,1.0824133375886877,0.9541254630412341,1.0529325558440146,1.1068711925298305
9,0.8462623413258097,0.42553191489361764,0.7662835249042099,0.4249291784702569,1.106194690265483,0.35460992907800915,1.4841512465238882,1.5627459001083726,1.6815571956737594,1.0648818558687945,1.148668689222514,1.208526394551028
10,0.13774104683195176,0.0,0.0,1.0884353741496544,0.0,2.592592592592591,0.7810749510281515,0.8042514744264133,0.9191831313699186,0.7777075279909784,0.8198664449593095,0.9154353440322138
11,0.8344923504867818,1.2987012987012991,0.7722007722007707,0.9915014164305958,0.0,0.35842293906810374,0.8577506409304139,0.9441323177029167,1.0229889247506616,0.7925132579315991,0.832490712388221,0.8956418062034399
12,0.6934812760055475,0.4310344827586188,0.39215686274509665,1.482479784366575,0.696055684454755,1.1235955056179803,0.9333013384665358,0.9228395542718077,1.0706407500834945,0.985077475604035,1.0127492403212417,1.148147022923539
13,4.7752808988763995,7.478632478632474,6.153846153846154,3.693931398416883,4.750593824228034,4.214559386973182,1.4847108216657925,1.5507442126110231,1.6334149850886395,1.0651181666638179,1.117524849117617,1.261404898122372
14,0.2732240437158473,1.118568232662187,2.298850574712641,1.7621145374449365,0.6237006237006182,1.0791366906474864,1.2184477849721538,1.5321632814382906,1.8361671492781526,1.4263678346264415,1.5134576912603117,1.6041063241679117
15,9.308885754583917,10.897435897435892,7.224334600760452,3.888888888888886,3.0172413793103425,1.171875,1.9181163815778115,2.0545684275231135,2.170107289388187,1.6841661885607173,1.7854822602596445,1.783287895963483
16,0.28050490883591017,0.21413276231263545,0.7692307692307665,0.9859154929577452,1.7857142857142905,0.7092198581560294,0.749624878964433,0.776917777458326,0.8716358012926089,0.8392719275641529,0.8657377763992097,0.9652104982642488
17,1.6574585635359074,2.1598272138228958,0.39525691699604515,2.3545706371191133,3.0701754385964897,1.526717557251911,0.8472063156098697,0.9601016781887071,0.9856260803628715,0.7356005582256642,0.7742933198318572,0.8189689836925919
18,0.0,0.6578947368421018,0.3937007874015741,0.5698005698005715,0.21551724137931494,0.7299270072992692,1.6136800976360508,1.6187071867907168,1.6572408779733532,1.3538400302133653,1.3556743426688984,1.4197469132408542
19,2.2253129346314293,3.7117903930131035,3.802281368821292,2.3977433004231274,2.41758241758242,2.536231884057971,0.7224065605672885,0.7661102507704605,0.8786741287511874,0.6469966797151284,0.692565386159955,0.7480964920264029
20,2.0862308762169657,1.089324618736387,1.1450381679389277,2.553191489361706,2.6200873362445365,2.527075812274371,0.686845257843408,0.7645955246514606,0.8274357903080637,0.7495247362731476,0.8149082493718867,0.9203024955313442
21,0.27700831024930483,0.0,0.0,0.3973509933774877,0.0,0.37878787878787845,0.9796142399562159,1.023904188965994,1.1030645121791167,0.7113720017491203,0.7608567630416424,0.8060325147679168
22,1.2430939226519389,0.43478260869564966,0.78125,2.4251069900142697,1.7316017316017285,2.166064981949456,0.8664341443091681,0.8929800181631676,1.121832864944397,1.0052346592176304,1.0270947357483733,1.162971522040607
23,2.8885832187070193,4.12147505422994,1.9841269841269882,1.7045454545454586,2.997858672376874,4.460966542750933,0.9312284863450752,1.1136064730936452,1.2079856426249365,0.8546600458202074,0.9865692067002083,1.086405270233884
24,0.42796005706133844,0.41928721174003813,0.0,0.2877697841726645,0.4310344827586188,1.4234875444839812,0.9342119446898751,1.0892746215532958,1.1036400740199763,0.9635090571115186,1.1523170650324814,1.1063512442570909
